# vi:set ts=8 sts=8 sw=8 tw=0:
#
# hira2kata.dat - 平仮名→カタカナ変換表
#
# Last Change: 19-Jun-2004.
# Written By:  MURAOKA Taro <koron@tka.att.ne.jp>

# 文字コードの違いもこの変換表で吸収する。

あ	ア
い	イ
う	ウ
え	エ
お	オ

か	カ
き	キ
く	ク
け	ケ
こ	コ

さ	サ
し	シ
す	ス
せ	セ
そ	ソ

た	タ
ち	チ
つ	ツ
て	テ
と	ト

な	ナ
に	ニ
ぬ	ヌ
ね	ネ
の	ノ

は	ハ
ひ	ヒ
ふ	フ
へ	ヘ
ほ	ホ

ま	マ
み	ミ
む	ム
め	メ
も	モ

や	ヤ
ゆ	ユ
よ	ヨ

ら	ラ
り	リ
る	ル
れ	レ
ろ	ロ

わ	ワ
ゐ	ヰ
ゑ	ヱ
を	ヲ

が	ガ
ぎ	ギ
ぐ	グ
げ	ゲ
ご	ゴ

ざ	ザ
じ	ジ
ず	ズ
ぜ	ゼ
ぞ	ゾ

だ	ダ
ぢ	ヂ
づ	ヅ
で	デ
ど	ド

ば	バ
び	ビ
ぶ	ブ
べ	ベ
ぼ	ボ

ぱ	パ
ぴ	ピ
ぷ	プ
ぺ	ペ
ぽ	ポ

ぁ	ァ
ぃ	ィ
ぅ	ゥ
ぇ	ェ
ぉ	ォ

ゃ	ャ
ゅ	ュ
ょ	ョ

ん	ン
っ	ッ
ゎ	ヮ
